lambda,dipolpol
0.548799987,4.405149657
0.549749987,4.407099103
0.550699987,4.409018172
0.551649987,4.410907132
0.552599987,4.412766249
0.553549987,4.414595789
0.554499987,4.416396017
0.555449987,4.418167198
0.556399987,4.419909597
0.557349987,4.421623479
0.558299987,4.423309105
0.559249987,4.42496674
0.560199987,4.426596644
0.561149987,4.42819908
0.562099987,4.429774309
0.563049987,4.431322591
0.563999987,4.432844185
0.564949987,4.434339351
0.565899987,4.435808346
0.566849987,4.437251428
0.567799987,4.438668853
0.568749987,4.440060879
0.569699987,4.441427758
0.570649987,4.442769747
0.571599987,4.444087099
0.572549987,4.445380066
0.573499987,4.4466489
0.574449987,4.447893853
0.575399987,4.449115174
0.576349986,4.450313113
0.577299986,4.451487918
0.578249986,4.452639837
0.579199986,4.453769116
0.580149986,4.454876001
0.581099986,4.455960737
0.582049986,4.457023567
0.582999986,4.458064734
0.583949986,4.45908448
0.584899986,4.460083046
0.585849986,4.461060671
0.586799986,4.462017595
0.587749986,4.462954055
0.588699986,4.463870287
0.589649986,4.464766527
0.590599986,4.46564301
0.591549986,4.46649997
0.592499986,4.467337638
0.593449986,4.468156247
0.594399986,4.468956025
0.595349986,4.469737203
0.596299986,4.470500008
0.597249986,4.471244667
0.598199986,4.471971406
0.599149986,4.47268045
0.600099986,4.473372021
0.601049986,4.474046342
0.601999986,4.474703634
0.602949986,4.475344117
0.603899986,4.475968009
0.604849986,4.476575528
0.605799986,4.477166891
0.606749986,4.477742312
0.607699986,4.478302005
0.608649986,4.478846183
0.609599986,4.479375057
0.610549986,4.479888837
0.611499986,4.480387733
0.612449986,4.480871951
0.613399986,4.481341699
0.614349986,4.481797181
0.615299986,4.482238601
0.616249986,4.482666162
0.617199986,4.483080065
0.618149986,4.48348051
0.619099986,4.483867697
0.620049986,4.484241821
0.620999986,4.484603081
0.621949986,4.48495167
0.622899986,4.485287781
0.623849986,4.485611609
0.624799986,4.485923342
0.625749986,4.486223171
0.626699986,4.486511285
0.627649986,4.48678787
0.628599986,4.487053111
0.629549986,4.487307194
0.630499986,4.487550302
0.631449986,4.487782615
0.632399986,4.488004315
0.633349986,4.48821558
0.634299986,4.488416589
0.635249986,4.488607517
0.636199986,4.488788539
0.637149986,4.48895983
0.638099986,4.489121562
0.639049986,4.489273905
0.639999986,4.489417029
0.640949986,4.489551103
0.641899986,4.489676294
0.642849986,4.489792767
0.643799986,4.489900686
0.644749986,4.490000215
0.645699986,4.490091515
0.646649986,4.490174746
0.647599986,4.490250067
0.648549986,4.490317636
0.649499986,4.49037761
0.650449986,4.490430141
0.651399986,4.490475386
0.652349986,4.490513494
0.653299986,4.490544618
0.654249986,4.490568907
0.655199986,4.490586509
0.656149985,4.49059757
0.657099985,4.490602237
0.658049985,4.490600653
0.658999985,4.490592961
0.659949985,4.490579303
0.660899985,4.490559818
0.661849985,4.490534646
0.662799985,4.490503923
0.663749985,4.490467787
0.664699985,4.490426372
0.665649985,4.490379811
0.666599985,4.490328236
0.667549985,4.490271779
0.668499985,4.490210568
0.669449985,4.490144733
0.670399985,4.4900744
0.671349985,4.489999694
0.672299985,4.48992074
0.673249985,4.489837661
0.674199985,4.489750579
0.675149985,4.489659613
0.676099985,4.489564884
0.677049985,4.489466509
0.677999985,4.489364603
0.678949985,4.489259284
0.679899985,4.489150664
0.680849985,4.489038857
0.681799985,4.488923973
0.682749985,4.488806123
0.683699985,4.488685416
0.684649985,4.48856196
0.685599985,4.48843586
0.686549985,4.488307222
0.687499985,4.48817615
0.688449985,4.488042746
0.689399985,4.487907113
0.690349985,4.487769349
0.691299985,4.487629555
0.692249985,4.487487827
0.693199985,4.487344262
0.694149985,4.487198956
0.695099985,4.487052002
0.696049985,4.486903494
0.696999985,4.486753522
0.697949985,4.486602178
0.698899985,4.486449551
0.699849985,4.486295729
0.700799985,4.486140799
0.701749985,4.485984846
0.702699985,4.485827955
0.703649985,4.485670209
0.704599985,4.485511691
0.705549985,4.485352482
0.706499985,4.485192661
0.707449985,4.485032308
0.708399985,4.4848715
0.709349985,4.484710313
0.710299985,4.484548824
0.711249985,4.484387105
0.712199985,4.48422523
0.713149985,4.484063272
0.714099985,4.483901301
0.715049985,4.483739387
0.715999985,4.483577598
0.716949985,4.483416003
0.717899985,4.483254668
0.718849985,4.483093658
0.719799985,4.482933037
0.720749985,4.48277287
0.721699985,4.482613217
0.722649985,4.482454141
0.723599985,4.482295702
0.724549985,4.482137958
0.725499985,4.481980968
0.726449985,4.481824789
0.727399985,4.481669476
0.728349985,4.481515086
0.729299985,4.48136167
0.730249985,4.481209284
0.731199985,4.481057978
0.732149985,4.480907804
0.733099985,4.480758812
0.734049985,4.48061105
0.734999985,4.480464567
0.735949984,4.48031941
0.736899984,4.480175624
0.737849984,4.480033256
0.738799984,4.479892348
0.739749984,4.479752945
0.740699984,4.479615089
0.741649984,4.47947882
